Folder_Path,Label
train_word_level/8/735.jpg,8
train_word_level/4/65.jpg,4
train_word_level/B/1064.jpg,B
train_word_level/M/133.jpg,M
train_word_level/N/224.jpg,N
train_word_level/2/1023.jpg,2
train_word_level/8/842.jpg,8
train_word_level/7/600.jpg,7
train_word_level/A/306.jpg,A
train_word_level/M/1021.jpg,M
train_word_level/2/152.jpg,2
train_word_level/U/608.jpg,U
train_word_level/W/5.jpg,W
train_word_level/W/425.jpg,W
train_word_level/7/7.jpg,7
train_word_level/Y/592.jpg,Y
train_word_level/I_ME_MINE_MY/I (38).jpg,I_ME_MINE_MY
train_word_level/H/584.jpg,H
train_word_level/C/803.jpg,C
train_word_level/6/227.jpg,6
train_word_level/O/628.jpg,O
train_word_level/6/1054.jpg,6
train_word_level/6/1056.jpg,6
train_word_level/3/1042.jpg,3
train_word_level/5/1146.jpg,5
train_word_level/E/833.jpg,E
train_word_level/G/344.jpg,G
train_word_level/H/726.jpg,H
train_word_level/P/95.jpg,P
train_word_level/H/551.jpg,H
train_word_level/R/1148.jpg,R
train_word_level/E/639.jpg,E
train_word_level/U/82.jpg,U
train_word_level/T/519.jpg,T
train_word_level/D/546.jpg,D
train_word_level/S/820.jpg,S
train_word_level/Z/281.jpg,Z
train_word_level/7/707.jpg,7
train_word_level/V/790.jpg,V
train_word_level/T/257.jpg,T
train_word_level/4/1013.jpg,4
train_word_level/X/463.jpg,X
train_word_level/C/148.jpg,C
train_word_level/E/666.jpg,E
train_word_level/D/914.jpg,D
train_word_level/C/1067.jpg,C
train_word_level/5/975.jpg,5
train_word_level/P/660.jpg,P
train_word_level/3/386.jpg,3
train_word_level/O/430.jpg,O
train_word_level/7/435.jpg,7
train_word_level/X/413.jpg,X
train_word_level/K/581.jpg,K
train_word_level/A/1089.jpg,A
train_word_level/T/359.jpg,T
train_word_level/K/492.jpg,K
train_word_level/M/576.jpg,M
train_word_level/G/606.jpg,G
train_word_level/I/564.jpg,I
train_word_level/J/1044.jpg,J
train_word_level/K/368.jpg,K
train_word_level/1/25.jpg,1
train_word_level/8/637.jpg,8
train_word_level/F/457.jpg,F
train_word_level/6/835.jpg,6
train_word_level/S/116.jpg,S
train_word_level/K/389.jpg,K
train_word_level/Q/1031.jpg,Q
train_word_level/U/468.jpg,U
train_word_level/H/373.jpg,H
train_word_level/E/778.jpg,E
train_word_level/Y/741.jpg,Y
train_word_level/R/1077.jpg,R
train_word_level/7/240.jpg,7
train_word_level/P/356.jpg,P
train_word_level/A/878.jpg,A
train_word_level/8/636.jpg,8
train_word_level/F/853.jpg,F
train_word_level/7/115.jpg,7
train_word_level/9/769.jpg,9
train_word_level/K/266.jpg,K
train_word_level/A/651.jpg,A
train_word_level/M/435.jpg,M
train_word_level/C/232 copy.jpg,C
train_word_level/6/1137.jpg,6
train_word_level/N/1083.jpg,N
train_word_level/M/782.jpg,M
train_word_level/E/483.jpg,E
train_word_level/G/899.jpg,G
train_word_level/7/835.jpg,7
train_word_level/Y/149.jpg,Y
train_word_level/7/947.jpg,7
train_word_level/D/158.jpg,D
train_word_level/X/581.jpg,X
train_word_level/R/709.jpg,R
